feature,mean_abs_coef
apoe4_dose,0.21109886866381797
expr_ENSG00000080815,0.05928375052732614
expr_ENSG00000030582,0.005599468246433963
expr_ENSG00000120899,0.002644678282745547
expr_ENSG00000178573,0.0
expr_ENSG00000136717,0.0
expr_ENSG00000091536,0.0
expr_ENSG00000103811,0.0
expr_ENSG00000110077,0.0
expr_ENSG00000154122,0.0
expr_ENSG00000197943,0.0
expr_ENSG00000186815,0.0
expr_ENSG00000128923,0.0
expr_ENSG00000003147,0.0
expr_ENSG00000110079,0.0
expr_ENSG00000151150,0.0
expr_ENSG00000140090,0.0
expr_ENSG00000164733,0.0
expr_ENSG00000087589,0.0
expr_ENSG00000219545,0.0
expr_ENSG00000112195,0.0
expr_ENSG00000126856,0.0
expr_ENSG00000161929,0.0
expr_ENSG00000073712,0.0
expr_ENSG00000127415,0.0
apoe4_carrier,0.0
expr_ENSG00000109684,0.0
expr_ENSG00000124602,0.0
expr_ENSG00000145901,0.0
expr_ENSG00000125826,0.0
expr_ENSG00000107679,0.0
expr_ENSG00000085514,0.0
expr_ENSG00000161640,0.0
expr_ENSG00000071051,0.0
expr_ENSG00000249853,0.0
expr_ENSG00000005379,0.0
expr_ENSG00000143801,0.0
expr_ENSG00000131042,0.0
expr_ENSG00000167716,0.0
expr_ENSG00000086289,0.0
expr_ENSG00000149927,0.0
expr_ENSG00000137845,0.0
expr_ENSG00000108379,0.0
expr_ENSG00000146090,0.0
expr_ENSG00000028528,0.0
expr_ENSG00000146904,0.0
expr_ENSG00000214300,0.0
expr_ENSG00000196549,0.0
expr_ENSG00000103241,0.0
expr_ENSG00000138613,0.0
expr_ENSG00000138600,0.0
expr_ENSG00000153814,0.0
expr_ENSG00000134243,0.0
expr_ENSG00000108219,0.0
expr_ENSG00000165806,0.0
expr_ENSG00000142192,0.0
expr_ENSG00000103507,0.0
expr_ENSG00000196735,0.0
expr_ENSG00000198087,0.0
expr_ENSG00000165029,0.0
expr_ENSG00000154734,0.0
expr_ENSG00000127184,0.0
expr_ENSG00000113108,0.0
expr_ENSG00000074266,0.0
expr_ENSG00000115825,0.0
expr_ENSG00000132432,0.0
expr_ENSG00000203710,0.0
expr_ENSG00000137642,0.0
expr_ENSG00000066336,0.0
expr_ENSG00000120885,0.0
expr_ENSG00000179526,0.0
expr_ENSG00000138442,0.0
expr_ENSG00000073921,0.0
expr_ENSG00000159640,0.0
expr_ENSG00000100599,0.0
expr_ENSG00000151694,0.0
expr_ENSG00000168421,0.0
expr_ENSG00000106460,0.0
expr_ENSG00000157368,0.0
expr_ENSG00000095585,0.0
expr_ENSG00000148429,0.0
expr_ENSG00000064687,0.0
expr_ENSG00000168918,0.0
