feature,mean_signed_coef,mean_abs_coef,n_folds_pos,n_folds_neg,n_folds_nonzero,sign_consistency
expr_ENSG00000154122,8.411426307390332,8.411426307390332,9,0,9,1.0
apoe4_dose,8.31749762599426,8.31749762599426,9,0,9,1.0
expr_ENSG00000165029,6.64923041345995,6.64923041345995,9,0,9,1.0
expr_ENSG00000151150,-6.024713425658558,6.024713425658558,0,9,9,1.0
expr_ENSG00000064687,5.160459369318799,5.160459369318799,9,0,9,1.0
expr_ENSG00000005379,4.896445106491904,4.896445106491904,9,0,9,1.0
expr_ENSG00000080815,4.858697069496039,4.858697069496039,9,0,9,1.0
expr_ENSG00000108219,-4.703486695032719,4.7583467193823035,1,8,9,0.8888888888888888
expr_ENSG00000030582,-4.694125085033978,4.694125085033978,0,9,9,1.0
expr_ENSG00000128923,-4.4830053674933215,4.4830053674933215,0,9,9,1.0
apoe4_carrier,-2.5265877947667614,4.38477296420209,4,5,9,0.5555555555555556
expr_ENSG00000164733,-4.143903296304802,4.261911555823136,1,8,9,0.8888888888888888
expr_ENSG00000196549,4.231713060729887,4.231713060729887,9,0,9,1.0
expr_ENSG00000115825,-3.6721613650731633,4.1335108787574955,1,8,9,0.8888888888888888
expr_ENSG00000161640,4.12891816987112,4.12891816987112,9,0,9,1.0
expr_ENSG00000103507,-3.269048423283424,4.016457998425477,1,8,9,0.8888888888888888
expr_ENSG00000073921,2.9085075208605424,3.9519312659654346,8,1,9,0.8888888888888888
expr_ENSG00000087589,-3.110245603336985,3.949120282945495,1,8,9,0.8888888888888888
expr_ENSG00000100599,1.4784777932444537,3.839017792116344,8,1,9,0.8888888888888888
expr_ENSG00000073712,-3.796821497509768,3.796821497509768,0,9,9,1.0
expr_ENSG00000127184,3.7517419081178756,3.7517419081178756,9,0,9,1.0
expr_ENSG00000103241,-3.5302385655327297,3.5302385655327297,0,9,9,1.0
expr_ENSG00000203710,2.0224782134821395,3.511297793473268,8,1,9,0.8888888888888888
expr_ENSG00000106460,1.930455604747882,3.5071040227369696,7,2,9,0.7777777777777778
expr_ENSG00000134243,-2.082440527818752,3.4979051127790575,2,7,9,0.7777777777777778
expr_ENSG00000137845,1.1445926343024877,3.3744585777579497,5,4,9,0.5555555555555556
expr_ENSG00000159640,1.3187227657671008,3.280535115444895,7,2,9,0.7777777777777778
expr_ENSG00000149927,-3.022371984333916,3.092555733000916,1,8,9,0.8888888888888888
expr_ENSG00000138442,3.0710222106075284,3.0710222106075284,9,0,9,1.0
